"niveaux";"trimestres";"label";"date";"first_date";"Etat";"Part des articles"
"CP";"grandes vacances";"CP - grandes vacances";2014-06-01;2011-09-01;"Modifié";0,126679885437321
"CP";"grandes vacances";"CP - grandes vacances";2014-06-01;2011-09-01;"Supprimé";0,0233531614893148
"CP";"grandes vacances";"CP - grandes vacances";2014-06-01;2011-09-01;"Ajouté";0,273187926856136
"CE1";"1er trimestre";"CE1 - 1er trimestre";2014-09-01;2011-09-01;"Conservé";0,561012879283999
"CE1";"1er trimestre";"CE1 - 1er trimestre";2014-09-01;2011-09-01;"Modifié";0,135341628465401
"CE1";"1er trimestre";"CE1 - 1er trimestre";2014-09-01;2011-09-01;"Supprimé";0,0253219820999782
"CE1";"1er trimestre";"CE1 - 1er trimestre";2014-09-01;2011-09-01;"Ajouté";0,278323510150622
"CE1";"2ème trimestre";"CE1 - 2ème trimestre";2014-12-01;2011-09-01;"Conservé";0,548695652173913
"CE1";"2ème trimestre";"CE1 - 2ème trimestre";2014-12-01;2011-09-01;"Modifié";0,145
"CE1";"2ème trimestre";"CE1 - 2ème trimestre";2014-12-01;2011-09-01;"Supprimé";0,0282608695652174
"CE1";"2ème trimestre";"CE1 - 2ème trimestre";2014-12-01;2011-09-01;"Ajouté";0,27804347826087
"CE1";"3ème trimestre";"CE1 - 3ème trimestre";2015-03-01;2011-09-01;"Conservé";0,523850636736456
"CE1";"3ème trimestre";"CE1 - 3ème trimestre";2015-03-01;2011-09-01;"Modifié";0,15799697819987
"CE1";"3ème trimestre";"CE1 - 3ème trimestre";2015-03-01;2011-09-01;"Supprimé";0,034966544355709
"CE1";"3ème trimestre";"CE1 - 3ème trimestre";2015-03-01;2011-09-01;"Ajouté";0,283185840707965
"CE1";"grandes vacances";"CE1 - grandes vacances";2015-06-01;2011-09-01;"Conservé";0,512963359760017
"CE1";"grandes vacances";"CE1 - grandes vacances";2015-06-01;2011-09-01;"Modifié";0,163916863081208
"CE1";"grandes vacances";"CE1 - grandes vacances";2015-06-01;2011-09-01;"Supprimé";0,03471180629955
"CE1";"grandes vacances";"CE1 - grandes vacances";2015-06-01;2011-09-01;"Ajouté";0,288407970859224
