"code";"partie";"président";"date";"Nombre_modifications_par_version"
"Code de l'éducation";"Législative";"Chirac";"2000-06-22";756
"Code de l'éducation";"Législative";"Chirac";"2000-12-14";4
"Code de l'éducation";"Législative";"Chirac";"2001-02-24";1
"Code de l'éducation";"Législative";"Chirac";"2001-07-07";2
"Code de l'éducation";"Législative";"Chirac";"2001-07-18";2
"Code de l'éducation";"Législative";"Chirac";"2002-01-01";18
"Code de l'éducation";"Législative";"Chirac";"2002-01-18";34
"Code de l'éducation";"Législative";"Chirac";"2002-01-23";3
"Code de l'éducation";"Législative";"Chirac";"2002-02-16";2
"Code de l'éducation";"Législative";"Chirac";"2002-02-28";5
"Code de l'éducation";"Législative";"Chirac 2";"2003-04-15";52
"Code de l'éducation";"Législative";"Chirac 2";"2003-05-02";4
"Code de l'éducation";"Législative";"Chirac 2";"2003-08-02";2
"Code de l'éducation";"Législative";"Chirac 2";"2003-12-20";1
"Code de l'éducation";"Législative";"Chirac 2";"2003-12-31";1
"Code de l'éducation";"Législative";"Chirac 2";"2004-01-03";1
"Code de l'éducation";"Législative";"Chirac 2";"2004-05-05";1
"Code de l'éducation";"Législative";"Chirac 2";"2004-06-16";1
"Code de l'éducation";"Législative";"Chirac 2";"2004-07-02";1
"Code de l'éducation";"Réglementaire";"Chirac 2";"2004-07-17";520
"Code de l'éducation";"Législative";"Chirac 2";"2004-07-17";3
"Code de l'éducation";"Législative";"Chirac 2";"2004-08-11";10
"Code de l'éducation";"Législative";"Chirac 2";"2004-08-17";2
"Code de l'éducation";"Législative";"Chirac 2";"2004-09-01";11
"Code de l'éducation";"Réglementaire";"Chirac 2";"2004-11-04";2
"Code de l'éducation";"Législative";"Chirac 2";"2004-11-05";1
"Code de l'éducation";"Législative";"Chirac 2";"2004-12-10";1
"Code de l'éducation";"Législative";"Chirac 2";"2005-01-01";53
"Code de l'éducation";"Législative";"Chirac 2";"2005-01-19";4
"Code de l'éducation";"Législative";"Chirac 2";"2005-02-12";36
"Code de l'éducation";"Législative";"Chirac 2";"2005-02-24";6
"Code de l'éducation";"Législative";"Chirac 2";"2005-02-26";3
"Code de l'éducation";"Réglementaire";"Chirac 2";"2005-03-31";2
"Code de l'éducation";"Législative";"Chirac 2";"2005-04-23";1
"Code de l'éducation";"Réglementaire";"Chirac 2";"2005-04-24";27
"Code de l'éducation";"Législative";"Chirac 2";"2005-04-24";87
"Code de l'éducation";"Législative";"Chirac 2";"2005-05-03";1
"Code de l'éducation";"Réglementaire";"Chirac 2";"2005-05-10";1
