"code";"partie";"président";"date";"Nombre_modifications_par_version"
"Code de l'éducation";"Réglementaire";"Chirac 2";"2005-05-14";41
"Code de l'éducation";"Législative";"Chirac 2";"2005-05-14";2
"Code de l'éducation";"Législative";"Chirac 2";"2005-05-27";1
"Code de l'éducation";"Réglementaire";"Chirac 2";"2005-06-01";2
"Code de l'éducation";"Législative";"Chirac 2";"2005-07-01";3
"Code de l'éducation";"Réglementaire";"Chirac 2";"2005-07-01";2
"Code de l'éducation";"Législative";"Chirac 2";"2005-07-27";1
"Code de l'éducation";"Réglementaire";"Chirac 2";"2005-08-23";6
"Code de l'éducation";"Réglementaire";"Chirac 2";"2005-08-25";1
"Code de l'éducation";"Législative";"Chirac 2";"2005-09-01";3
"Code de l'éducation";"Législative";"Chirac 2";"2005-11-05";1
"Code de l'éducation";"Réglementaire";"Chirac 2";"2005-11-08";9
"Code de l'éducation";"Législative";"Chirac 2";"2005-11-08";1
"Code de l'éducation";"Législative";"Chirac 2";"2005-12-31";2
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-01-01";1
"Code de l'éducation";"Législative";"Chirac 2";"2006-01-01";1
"Code de l'éducation";"Législative";"Chirac 2";"2006-01-06";3
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-01-31";1
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-02-01";1
"Code de l'éducation";"Législative";"Chirac 2";"2006-02-17";2
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-03-07";1
"Code de l'éducation";"Législative";"Chirac 2";"2006-03-24";2
"Code de l'éducation";"Législative";"Chirac 2";"2006-04-02";7
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-04-13";6
"Code de l'éducation";"Législative";"Chirac 2";"2006-04-19";10
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-05-10";7
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-05-21";1
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-05-24";852
"Code de l'éducation";"Législative";"Chirac 2";"2006-05-24";2
"Code de l'éducation";"Législative";"Chirac 2";"2006-05-25";20
"Code de l'éducation";"Législative";"Chirac 2";"2006-06-02";2
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-06-08";1
"Code de l'éducation";"Législative";"Chirac 2";"2006-06-23";1
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-06-27";1
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-07-01";11
"Code de l'éducation";"Législative";"Chirac 2";"2006-07-01";6
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-07-12";14
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-07-29";15
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-08-04";5
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-08-22";17
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-09-02";6
"Code de l'éducation";"Législative";"Chirac 2";"2006-09-15";1
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-09-15";16
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-11-01";4
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-11-04";15
"Code de l'éducation";"Réglementaire";"Chirac 2";"2006-12-20";14
"Code de l'éducation";"Législative";"Chirac 2";"2006-12-31";8
"Code de l'éducation";"Réglementaire";"Chirac 2";"2007-01-01";1
"Code de l'éducation";"Législative";"Chirac 2";"2007-02-21";2
"Code de l'éducation";"Législative";"Chirac 2";"2007-03-06";8
"Code de l'éducation";"Législative";"Chirac 2";"2007-03-07";6
"Code de l'éducation";"Réglementaire";"Chirac 2";"2007-03-25";2
"Code de l'éducation";"Réglementaire";"Chirac 2";"2007-03-27";7
"Code de l'éducation";"Réglementaire";"Chirac 2";"2007-03-30";3
"Code de l'éducation";"Législative";"Chirac 2";"2007-05-03";1
"Code de l'éducation";"Réglementaire";"Chirac 2";"2007-05-15";4
"Code de l'éducation";"Réglementaire";"Chirac 2";"2007-05-16";2
"Code de l'éducation";"Réglementaire";"Sarkozy";"2007-07-19";2
"Code de l'éducation";"Réglementaire";"Sarkozy";"2007-07-25";4
"Code de l'éducation";"Législative";"Sarkozy";"2007-07-25";1
"Code de l'éducation";"Législative";"Sarkozy";"2007-08-11";48
"Code de l'éducation";"Réglementaire";"Sarkozy";"2007-09-01";2
"Code de l'éducation";"Réglementaire";"Sarkozy";"2007-09-14";5
"Code de l'éducation";"Réglementaire";"Sarkozy";"2007-10-01";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2007-10-28";2
"Code de l'éducation";"Réglementaire";"Sarkozy";"2007-12-09";9
"Code de l'éducation";"Réglementaire";"Sarkozy";"2007-12-16";4
"Code de l'éducation";"Législative";"Sarkozy";"2007-12-22";1
"Code de l'éducation";"Législative";"Sarkozy";"2007-12-28";1
"Code de l'éducation";"Législative";"Sarkozy";"2007-12-29";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-01-01";1
"Code de l'éducation";"Législative";"Sarkozy";"2008-01-01";14
"Code de l'éducation";"Législative";"Sarkozy";"2008-02-10";2
"Code de l'éducation";"Législative";"Sarkozy";"2008-02-11";6
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-02-14";1
"Code de l'éducation";"Législative";"Sarkozy";"2008-02-15";2
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-02-16";7
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-03-19";704
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-04-05";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-05-01";13
"Code de l'éducation";"Législative";"Sarkozy";"2008-05-01";4
"Code de l'éducation";"Législative";"Sarkozy";"2008-06-01";2
"Code de l'éducation";"Législative";"Sarkozy";"2008-07-26";17
"Code de l'éducation";"Législative";"Sarkozy";"2008-08-06";3
"Code de l'éducation";"Législative";"Sarkozy";"2008-08-22";2
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-08-23";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-08-28";4
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-09-01";1
"Code de l'éducation";"Législative";"Sarkozy";"2008-09-01";10
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-09-02";6
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-10-04";5
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-10-10";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-11-17";4
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-11-23";9
"Code de l'éducation";"Législative";"Sarkozy";"2008-12-13";30
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-12-21";9
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-12-27";10
"Code de l'éducation";"Réglementaire";"Sarkozy";"2008-12-29";137
"Code de l'éducation";"Législative";"Sarkozy";"2008-12-29";4
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-01-01";6
"Code de l'éducation";"Législative";"Sarkozy";"2009-01-01";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-01-24";3
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-02-12";11
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-03-02";4
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-04-05";3
"Code de l'éducation";"Législative";"Sarkozy";"2009-05-14";4
"Code de l'éducation";"Législative";"Sarkozy";"2009-05-16";2
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-05-21";222
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-06-09";29
"Code de l'éducation";"Législative";"Sarkozy";"2009-06-14";2
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-06-18";8
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-06-25";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-07-01";1
"Code de l'éducation";"Législative";"Sarkozy";"2009-07-01";6
"Code de l'éducation";"Législative";"Sarkozy";"2009-07-23";13
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-07-30";24
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-08-02";1
"Code de l'éducation";"Législative";"Sarkozy";"2009-08-07";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-09-01";71
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-09-02";7
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-09-25";11
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-10-01";19
"Code de l'éducation";"Législative";"Sarkozy";"2009-10-30";3
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-11-14";4
"Code de l'éducation";"Législative";"Sarkozy";"2009-11-26";13
"Code de l'éducation";"Législative";"Sarkozy";"2009-12-10";1
"Code de l'éducation";"Législative";"Sarkozy";"2009-12-12";3
"Code de l'éducation";"Réglementaire";"Sarkozy";"2009-12-16";1
"Code de l'éducation";"Législative";"Sarkozy";"2010-01-01";1
"Code de l'éducation";"Législative";"Sarkozy";"2010-01-16";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-01-20";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-01-27";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-01-29";16
"Code de l'éducation";"Législative";"Sarkozy";"2010-02-10";3
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-02-13";25
"Code de l'éducation";"Législative";"Sarkozy";"2010-02-26";5
"Code de l'éducation";"Législative";"Sarkozy";"2010-03-27";3
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-04-12";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-05-01";26
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-05-08";30
"Code de l'éducation";"Législative";"Sarkozy";"2010-05-08";30
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-05-14";1
"Code de l'éducation";"Législative";"Sarkozy";"2010-05-20";2
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-05-30";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-05-31";6
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-06-05";9
"Code de l'éducation";"Législative";"Sarkozy";"2010-06-06";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-06-15";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-06-21";1
"Code de l'éducation";"Législative";"Sarkozy";"2010-06-30";1
"Code de l'éducation";"Législative";"Sarkozy";"2010-07-01";3
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-07-03";4
"Code de l'éducation";"Législative";"Sarkozy";"2010-07-07";4
"Code de l'éducation";"Législative";"Sarkozy";"2010-07-11";2
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-07-12";4
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-07-14";1
"Code de l'éducation";"Législative";"Sarkozy";"2010-07-14";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-07-15";1
"Code de l'éducation";"Législative";"Sarkozy";"2010-07-29";3
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-07-31";4
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-08-26";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-09-01";10
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-09-02";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-09-19";1
"Code de l'éducation";"Législative";"Sarkozy";"2010-09-30";2
"Code de l'éducation";"Législative";"Sarkozy";"2010-10-01";2
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-10-01";1
"Code de l'éducation";"Législative";"Sarkozy";"2010-11-11";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-11-12";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-11-14";6
"Code de l'éducation";"Législative";"Sarkozy";"2010-12-01";6
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-12-15";10
"Code de l'éducation";"Législative";"Sarkozy";"2010-12-15";3
"Code de l'éducation";"Législative";"Sarkozy";"2010-12-22";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2010-12-30";25
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-01-01";8
"Code de l'éducation";"Législative";"Sarkozy";"2011-01-01";9
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-01-02";13
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-02-20";1
"Code de l'éducation";"Législative";"Sarkozy";"2011-03-16";1
"Code de l'éducation";"Législative";"Sarkozy";"2011-03-24";3
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-03-31";2
"Code de l'éducation";"Législative";"Sarkozy";"2011-03-31";2
"Code de l'éducation";"Législative";"Sarkozy";"2011-05-19";8
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-06-03";3
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-06-15";3
"Code de l'éducation";"Législative";"Sarkozy";"2011-07-01";1
"Code de l'éducation";"Législative";"Sarkozy";"2011-07-09";1
"Code de l'éducation";"Législative";"Sarkozy";"2011-07-30";9
"Code de l'éducation";"Législative";"Sarkozy";"2011-08-12";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-08-13";2
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-09-01";30
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-09-05";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-09-19";8
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-09-29";4
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-10-20";10
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-11-01";11
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-11-16";17
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-12-04";8
"Code de l'éducation";"Réglementaire";"Sarkozy";"2011-12-08";1
"Code de l'éducation";"Législative";"Sarkozy";"2011-12-30";6
"Code de l'éducation";"Réglementaire";"Sarkozy";"2012-01-28";33
"Code de l'éducation";"Réglementaire";"Sarkozy";"2012-02-01";171
"Code de l'éducation";"Législative";"Sarkozy";"2012-02-01";16
"Code de l'éducation";"Législative";"Sarkozy";"2012-02-03";2
"Code de l'éducation";"Réglementaire";"Sarkozy";"2012-02-11";2
"Code de l'éducation";"Réglementaire";"Sarkozy";"2012-02-18";1
"Code de l'éducation";"Législative";"Sarkozy";"2012-03-07";1
"Code de l'éducation";"Législative";"Sarkozy";"2012-03-14";2
"Code de l'éducation";"Réglementaire";"Sarkozy";"2012-03-24";1
"Code de l'éducation";"Législative";"Sarkozy";"2012-03-29";5
"Code de l'éducation";"Réglementaire";"Sarkozy";"2012-04-27";2
"Code de l'éducation";"Législative";"Sarkozy";"2012-05-01";1
"Code de l'éducation";"Réglementaire";"Sarkozy";"2012-06-01";13
"Code de l'éducation";"Réglementaire";"Hollande";"2012-07-26";4
"Code de l'éducation";"Réglementaire";"Hollande";"2012-09-01";15
"Code de l'éducation";"Législative";"Hollande";"2012-09-01";1
"Code de l'éducation";"Réglementaire";"Hollande";"2012-09-04";1
"Code de l'éducation";"Réglementaire";"Hollande";"2012-09-07";1
"Code de l'éducation";"Réglementaire";"Hollande";"2012-10-01";2
"Code de l'éducation";"Réglementaire";"Hollande";"2012-10-06";1
"Code de l'éducation";"Réglementaire";"Hollande";"2012-10-29";8
"Code de l'éducation";"Réglementaire";"Hollande";"2012-11-11";8
"Code de l'éducation";"Réglementaire";"Hollande";"2012-11-23";2
"Code de l'éducation";"Réglementaire";"Hollande";"2012-12-19";1
"Code de l'éducation";"Législative";"Hollande";"2012-12-19";2
"Code de l'éducation";"Réglementaire";"Hollande";"2013-01-01";48
"Code de l'éducation";"Législative";"Hollande";"2013-01-01";4
"Code de l'éducation";"Législative";"Hollande";"2013-02-02";3
"Code de l'éducation";"Réglementaire";"Hollande";"2013-02-21";1
"Code de l'éducation";"Réglementaire";"Hollande";"2013-04-24";1
"Code de l'éducation";"Réglementaire";"Hollande";"2013-05-13";2
"Code de l'éducation";"Réglementaire";"Hollande";"2013-05-25";18
"Code de l'éducation";"Législative";"Hollande";"2013-05-25";1
"Code de l'éducation";"Réglementaire";"Hollande";"2013-06-12";6
"Code de l'éducation";"Législative";"Hollande";"2013-07-10";99
"Code de l'éducation";"Législative";"Hollande";"2013-07-24";117
"Code de l'éducation";"Réglementaire";"Hollande";"2013-07-29";16
"Code de l'éducation";"Réglementaire";"Hollande";"2013-08-18";2
"Code de l'éducation";"Réglementaire";"Hollande";"2013-08-21";1062
"Code de l'éducation";"Législative";"Hollande";"2013-08-21";1
"Code de l'éducation";"Réglementaire";"Hollande";"2013-08-28";22
"Code de l'éducation";"Réglementaire";"Hollande";"2013-08-29";12
"Code de l'éducation";"Réglementaire";"Hollande";"2013-08-30";5
"Code de l'éducation";"Réglementaire";"Hollande";"2013-08-31";6
"Code de l'éducation";"Réglementaire";"Hollande";"2013-09-01";10
"Code de l'éducation";"Réglementaire";"Hollande";"2013-09-03";12
"Code de l'éducation";"Réglementaire";"Hollande";"2013-09-27";12
"Code de l'éducation";"Réglementaire";"Hollande";"2013-10-15";3
"Code de l'éducation";"Réglementaire";"Hollande";"2013-10-19";3
"Code de l'éducation";"Réglementaire";"Hollande";"2013-10-21";3
"Code de l'éducation";"Réglementaire";"Hollande";"2013-10-25";3
"Code de l'éducation";"Réglementaire";"Hollande";"2013-11-07";2
"Code de l'éducation";"Réglementaire";"Hollande";"2013-12-02";8
"Code de l'éducation";"Réglementaire";"Hollande";"2013-12-12";2
"Code de l'éducation";"Réglementaire";"Hollande";"2013-12-29";82
"Code de l'éducation";"Réglementaire";"Hollande";"2014-01-01";25
"Code de l'éducation";"Législative";"Hollande";"2014-01-01";5
"Code de l'éducation";"Réglementaire";"Hollande";"2014-01-16";4
"Code de l'éducation";"Législative";"Hollande";"2014-01-29";2
"Code de l'éducation";"Réglementaire";"Hollande";"2014-02-27";3
"Code de l'éducation";"Législative";"Hollande";"2014-03-01";13
"Code de l'éducation";"Législative";"Hollande";"2014-03-07";14
"Code de l'éducation";"Réglementaire";"Hollande";"2014-03-12";12
"Code de l'éducation";"Réglementaire";"Hollande";"2014-03-16";8
"Code de l'éducation";"Réglementaire";"Hollande";"2014-05-25";4
"Code de l'éducation";"Réglementaire";"Hollande";"2014-05-30";26
"Code de l'éducation";"Réglementaire";"Hollande";"2014-06-09";18
"Code de l'éducation";"Réglementaire";"Hollande";"2014-06-21";7
"Code de l'éducation";"Réglementaire";"Hollande";"2014-06-27";1
"Code de l'éducation";"Législative";"Hollande";"2014-06-28";24
"Code de l'éducation";"Réglementaire";"Hollande";"2014-06-30";4
"Code de l'éducation";"Législative";"Hollande";"2014-07-01";1
"Code de l'éducation";"Réglementaire";"Hollande";"2014-07-12";4
"Code de l'éducation";"Législative";"Hollande";"2014-07-12";27
"Code de l'éducation";"Réglementaire";"Hollande";"2014-07-18";1
"Code de l'éducation";"Législative";"Hollande";"2014-07-19";22
"Code de l'éducation";"Réglementaire";"Hollande";"2014-07-24";2
"Code de l'éducation";"Législative";"Hollande";"2014-08-02";4
"Code de l'éducation";"Législative";"Hollande";"2014-08-06";2
"Code de l'éducation";"Législative";"Hollande";"2014-08-10";1
"Code de l'éducation";"Réglementaire";"Hollande";"2014-08-28";4
"Code de l'éducation";"Réglementaire";"Hollande";"2014-09-01";14
"Code de l'éducation";"Réglementaire";"Hollande";"2014-09-14";1
"Code de l'éducation";"Réglementaire";"Hollande";"2014-09-17";1
"Code de l'éducation";"Réglementaire";"Hollande";"2014-09-19";9
"Code de l'éducation";"Réglementaire";"Hollande";"2014-09-26";4
"Code de l'éducation";"Réglementaire";"Hollande";"2014-09-29";2
"Code de l'éducation";"Réglementaire";"Hollande";"2014-10-02";4
"Code de l'éducation";"Législative";"Hollande";"2014-10-15";8
"Code de l'éducation";"Réglementaire";"Hollande";"2014-10-16";2
"Code de l'éducation";"Réglementaire";"Hollande";"2014-10-26";2
"Code de l'éducation";"Réglementaire";"Hollande";"2014-11-03";12
"Code de l'éducation";"Réglementaire";"Hollande";"2014-11-21";9
"Code de l'éducation";"Réglementaire";"Hollande";"2014-11-28";3
"Code de l'éducation";"Réglementaire";"Hollande";"2014-12-01";49
"Code de l'éducation";"Réglementaire";"Hollande";"2014-12-08";8
"Code de l'éducation";"Réglementaire";"Hollande";"2014-12-13";10
"Code de l'éducation";"Réglementaire";"Hollande";"2014-12-18";6
"Code de l'éducation";"Réglementaire";"Hollande";"2014-12-20";2
"Code de l'éducation";"Réglementaire";"Hollande";"2014-12-22";5
"Code de l'éducation";"Législative";"Hollande";"2014-12-22";2
"Code de l'éducation";"Réglementaire";"Hollande";"2014-12-29";15
"Code de l'éducation";"Réglementaire";"Hollande";"2015-01-01";62
"Code de l'éducation";"Législative";"Hollande";"2015-01-01";13
"Code de l'éducation";"Réglementaire";"Hollande";"2015-01-09";6
"Code de l'éducation";"Législative";"Hollande";"2015-01-16";29
"Code de l'éducation";"Réglementaire";"Hollande";"2015-01-20";1
"Code de l'éducation";"Réglementaire";"Hollande";"2015-01-31";35
"Code de l'éducation";"Réglementaire";"Hollande";"2015-02-07";2
"Code de l'éducation";"Réglementaire";"Hollande";"2015-02-09";2
"Code de l'éducation";"Législative";"Hollande";"2015-02-18";5
"Code de l'éducation";"Réglementaire";"Hollande";"2015-02-22";8
"Code de l'éducation";"Réglementaire";"Hollande";"2015-03-02";8
"Code de l'éducation";"Réglementaire";"Hollande";"2015-03-05";6
"Code de l'éducation";"Réglementaire";"Hollande";"2015-03-22";30
"Code de l'éducation";"Législative";"Hollande";"2015-03-22";12
"Code de l'éducation";"Réglementaire";"Hollande";"2015-03-28";4
"Code de l'éducation";"Législative";"Hollande";"2015-04-02";2
"Code de l'éducation";"Réglementaire";"Hollande";"2015-04-06";1
"Code de l'éducation";"Législative";"Hollande";"2015-04-10";1
"Code de l'éducation";"Réglementaire";"Hollande";"2015-04-18";14
"Code de l'éducation";"Réglementaire";"Hollande";"2015-05-02";1
"Code de l'éducation";"Réglementaire";"Hollande";"2015-05-14";10
"Code de l'éducation";"Réglementaire";"Hollande";"2015-05-15";6
"Code de l'éducation";"Réglementaire";"Hollande";"2015-05-17";3
"Code de l'éducation";"Réglementaire";"Hollande";"2015-06-11";2
"Code de l'éducation";"Réglementaire";"Hollande";"2015-06-14";380
"Code de l'éducation";"Réglementaire";"Hollande";"2015-06-18";4
"Code de l'éducation";"Législative";"Hollande";"2015-06-28";7
"Code de l'éducation";"Réglementaire";"Hollande";"2015-06-29";2
"Code de l'éducation";"Réglementaire";"Hollande";"2015-07-02";4
"Code de l'éducation";"Réglementaire";"Hollande";"2015-07-12";8
"Code de l'éducation";"Réglementaire";"Hollande";"2015-07-23";1
"Code de l'éducation";"Réglementaire";"Hollande";"2015-08-06";2
"Code de l'éducation";"Législative";"Hollande";"2015-08-08";1
"Code de l'éducation";"Législative";"Hollande";"2015-08-09";8
"Code de l'éducation";"Législative";"Hollande";"2015-08-19";1
"Code de l'éducation";"Réglementaire";"Hollande";"2015-08-21";3
"Code de l'éducation";"Réglementaire";"Hollande";"2015-08-28";7
"Code de l'éducation";"Réglementaire";"Hollande";"2015-08-29";13
"Code de l'éducation";"Réglementaire";"Hollande";"2015-08-31";57
"Code de l'éducation";"Réglementaire";"Hollande";"2015-09-01";85
"Code de l'éducation";"Législative";"Hollande";"2015-09-01";45
"Code de l'éducation";"Réglementaire";"Hollande";"2015-09-14";1
"Code de l'éducation";"Réglementaire";"Hollande";"2015-09-19";1
"Code de l'éducation";"Réglementaire";"Hollande";"2015-09-24";10
"Code de l'éducation";"Réglementaire";"Hollande";"2015-09-26";4
"Code de l'éducation";"Réglementaire";"Hollande";"2015-10-05";8
"Code de l'éducation";"Réglementaire";"Hollande";"2015-10-28";2
"Code de l'éducation";"Réglementaire";"Hollande";"2015-10-29";4
"Code de l'éducation";"Réglementaire";"Hollande";"2015-11-01";4
"Code de l'éducation";"Réglementaire";"Hollande";"2015-11-02";2
"Code de l'éducation";"Réglementaire";"Hollande";"2015-11-27";2
"Code de l'éducation";"Législative";"Hollande";"2015-11-29";4
"Code de l'éducation";"Réglementaire";"Hollande";"2015-12-01";4
"Code de l'éducation";"Réglementaire";"Hollande";"2015-12-04";1
"Code de l'éducation";"Réglementaire";"Hollande";"2015-12-10";1
"Code de l'éducation";"Réglementaire";"Hollande";"2015-12-17";1
"Code de l'éducation";"Réglementaire";"Hollande";"2015-12-28";1
"Code de l'éducation";"Législative";"Hollande";"2015-12-31";1
"Code de l'éducation";"Réglementaire";"Hollande";"2016-01-01";119
"Code de l'éducation";"Législative";"Hollande";"2016-01-01";3
"Code de l'éducation";"Réglementaire";"Hollande";"2016-01-04";5
"Code de l'éducation";"Réglementaire";"Hollande";"2016-01-17";2
"Code de l'éducation";"Réglementaire";"Hollande";"2016-01-21";6
"Code de l'éducation";"Réglementaire";"Hollande";"2016-01-22";1
"Code de l'éducation";"Législative";"Hollande";"2016-01-28";8
"Code de l'éducation";"Réglementaire";"Hollande";"2016-01-30";3
"Code de l'éducation";"Réglementaire";"Hollande";"2016-02-12";1
"Code de l'éducation";"Législative";"Hollande";"2016-02-13";1
