"code";"partie";"président";"versions"
"Code de la mutualité";"Législative";"Mitterand 2";6
"Code de la mutualité";"Législative";"Chirac 2";25
"Code de la mutualité";"Législative";"Macron 2";9
"Code de la mutualité";"Réglementaire";"Mitterand";3
"Code de la mutualité";"Réglementaire";"Mitterand 2";6
"Code de l'organisation judiciaire";"Réglementaire";"Sarkozy";55
"Code de l'organisation judiciaire";"Réglementaire";"Chirac 2";32
"Code de l'organisation judiciaire";"Réglementaire";"Hollande";40
"Code de l'organisation judiciaire";"Réglementaire";"Macron";61
"Code de l'organisation judiciaire";"Réglementaire";"Macron 2";33
"Code de l'organisation judiciaire";"Réglementaire";"Giscard";9
"Code de l'organisation judiciaire";"Réglementaire";"Mitterand 2";19
"Code de l'organisation judiciaire";"Réglementaire";"Chirac";20
"Code de l'organisation judiciaire";"Réglementaire";"Mitterand";21
"Code de l'organisation judiciaire";"Législative";"Giscard";8
"Code de l'organisation judiciaire";"Législative";"Chirac 2";17
"Code de l'organisation judiciaire";"Législative";"Sarkozy";21
"Code de l'organisation judiciaire";"Législative";"Macron";19
"Code de l'organisation judiciaire";"Législative";"Hollande";16
"Code de l'organisation judiciaire";"Législative";"Chirac";18
"Code de l'organisation judiciaire";"Législative";"Macron 2";12
"Code de l'organisation judiciaire";"Législative";"Mitterand";8
"Code de l'organisation judiciaire";"Législative";"Mitterand 2";15
"Code du patrimoine";"Réglementaire";"Sarkozy";6
"Code du patrimoine";"Réglementaire";"Macron";28
"Code du patrimoine";"Réglementaire";"Hollande";30
"Code du patrimoine";"Réglementaire";"Macron 2";16
"Code du patrimoine";"Législative";"Chirac 2";17
"Code du patrimoine";"Législative";"Hollande";21
"Code du patrimoine";"Législative";"Macron";25
"Code du patrimoine";"Législative";"Macron 2";6
"Code du patrimoine";"Législative";"Sarkozy";26
"Code pénal";"Réglementaire";"Mitterand 2";8
"Code pénal";"Réglementaire";"Chirac 2";46
"Code pénal";"Réglementaire";"Chirac";44
"Code pénal";"Réglementaire";"Sarkozy";59
"Code pénal";"Réglementaire";"Hollande";57
"Code pénal";"Réglementaire";"Macron";64
"Code pénal";"Réglementaire";"Macron 2";29
"Code pénitentiaire";"Réglementaire";"Macron 2";34
"Code pénitentiaire";"Réglementaire";"Macron";1
"Code pénitentiaire";"Législative";"Macron";1
"Code pénitentiaire";"Législative";"Macron 2";8
"Code des pensions civiles et militaires de retraite";"Réglementaire";"de Gaulle";1
"Code des pensions civiles et militaires de retraite";"Réglementaire";"Chirac 2";11
"Code des pensions civiles et militaires de retraite";"Réglementaire";"Sarkozy";12
"Code des pensions civiles et militaires de retraite";"Réglementaire";"Hollande";16
"Code des pensions civiles et militaires de retraite";"Réglementaire";"Giscard";5
"Code des pensions civiles et militaires de retraite";"Réglementaire";"Avant Ve";1
"Code des pensions civiles et militaires de retraite";"Réglementaire";"Macron 2";10
"Code des pensions civiles et militaires de retraite";"Réglementaire";"Macron";9
"Code des pensions civiles et militaires de retraite";"Réglementaire";"Mitterand 2";5
"Code des pensions civiles et militaires de retraite";"Réglementaire";"Mitterand";4
"Code des pensions civiles et militaires de retraite";"Réglementaire";"de Gaulle 2";2
"Code des pensions civiles et militaires de retraite";"Législative";"de Gaulle";1
"Code des pensions civiles et militaires de retraite";"Législative";"Chirac 2";13
"Code des pensions civiles et militaires de retraite";"Législative";"Mitterand";4
"Code des pensions civiles et militaires de retraite";"Législative";"Mitterand 2";7
"Code des pensions civiles et militaires de retraite";"Législative";"Macron 2";7
"Code des pensions civiles et militaires de retraite";"Législative";"Sarkozy";8
"Code des pensions civiles et militaires de retraite";"Législative";"Hollande";9
"Code des pensions civiles et militaires de retraite";"Législative";"Macron";9
"Code des pensions civiles et militaires de retraite";"Législative";"Chirac";6
"Code des pensions civiles et militaires de retraite";"Législative";"Giscard";7
"Code des pensions civiles et militaires de retraite";"Législative";"Pompidou";5
"Code des pensions civiles et militaires de retraite";"Réglementaire";"Chirac";2
"Code des pensions civiles et militaires de retraite";"Réglementaire";"Pompidou";2
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Législative";"de Gaulle 2";1
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Législative";"Chirac";5
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Législative";"Giscard";1
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Législative";"Mitterand";6
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Législative";"Chirac 2";3
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Législative";"Sarkozy";1
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Législative";"Mitterand 2";3
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Législative";"Macron";1
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Réglementaire";"de Gaulle 2";1
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Réglementaire";"Mitterand";9
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Réglementaire";"Giscard";2
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Réglementaire";"Mitterand 2";5
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Réglementaire";"Chirac";4
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Réglementaire";"Chirac 2";2
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Réglementaire";"Macron";3
"Code des pensions de retraite des marins français du commerce, de pêche ou de plaisance";"Réglementaire";"Hollande";1
"Code des ports maritimes";"Réglementaire";"Giscard";4
"Code des ports maritimes";"Réglementaire";"Chirac";12
"Code des ports maritimes";"Réglementaire";"Chirac 2";10
"Code des ports maritimes";"Législative";"Sarkozy";5
"Code des ports maritimes";"Législative";"Chirac 2";8
"Code des ports maritimes";"Législative";"Hollande";1
"Code des ports maritimes";"Législative";"Giscard";4
"Code des ports maritimes";"Législative";"Mitterand 2";5
"Code des ports maritimes";"Législative";"Chirac";7
"Code des ports maritimes";"Législative";"Mitterand";2
"Code des ports maritimes";"Réglementaire";"Sarkozy";11
"Code des ports maritimes";"Réglementaire";"Mitterand";18
"Code des ports maritimes";"Réglementaire";"Hollande";6
"Code des ports maritimes";"Réglementaire";"Mitterand 2";10
"Code des ports maritimes";"Réglementaire";"Macron";2
"Code des postes et des communications électroniques";"Réglementaire";"Macron 2";19
"Code des postes et des communications électroniques";"Réglementaire";"de Gaulle 2";6
"Code des postes et des communications électroniques";"Réglementaire";"de Gaulle";8
"Code des postes et des communications électroniques";"Réglementaire";"Hollande";32
"Code des postes et des communications électroniques";"Réglementaire";"Mitterand";16
"Code des postes et des communications électroniques";"Réglementaire";"Mitterand 2";35
"Code des postes et des communications électroniques";"Réglementaire";"Chirac 2";33
"Code des postes et des communications électroniques";"Réglementaire";"Macron";27
"Code des postes et des communications électroniques";"Réglementaire";"Chirac";31
"Code des postes et des communications électroniques";"Réglementaire";"Sarkozy";24
"Code des postes et des communications électroniques";"Réglementaire";"Giscard";18
"Code des postes et des communications électroniques";"Réglementaire";"Pompidou";10
"Code des postes et des communications électroniques";"Législative";"de Gaulle";3
"Code des postes et des communications électroniques";"Législative";"Mitterand 2";10
"Code des postes et des communications électroniques";"Législative";"Chirac";8
"Code des postes et des communications électroniques";"Législative";"Chirac 2";19
"Code des postes et des communications électroniques";"Législative";"Sarkozy";25
"Code des postes et des communications électroniques";"Législative";"Hollande";25
"Code des postes et des communications électroniques";"Législative";"Pompidou";4
"Code des postes et des communications électroniques";"Législative";"Macron";24
"Code des postes et des communications électroniques";"Législative";"Giscard";6
"Code des postes et des communications électroniques";"Législative";"Mitterand";8
"Code des postes et des communications électroniques";"Législative";"Macron 2";15
"Code des postes et des communications électroniques";"Législative";"de Gaulle 2";2
"Code de procédure civile";"Réglementaire";"Macron 2";18
"Code de procédure civile";"Réglementaire";"Giscard";10
"Code de procédure civile";"Réglementaire";"Chirac 2";16
"Code de procédure civile";"Réglementaire";"Macron";33
"Code de procédure civile";"Réglementaire";"Hollande";38
"Code de procédure civile";"Réglementaire";"Mitterand 2";14
"Code de procédure civile";"Réglementaire";"Chirac";12
"Code de procédure civile";"Réglementaire";"Sarkozy";39
"Code de procédure civile";"Réglementaire";"Mitterand";15
"Code de procédure pénale";"Réglementaire";"Avant Ve";7
"Code de procédure pénale";"Réglementaire";"Sarkozy";206
"Code de procédure pénale";"Réglementaire";"Giscard";45
"Code de procédure pénale";"Réglementaire";"Macron";182
"Code de procédure pénale";"Réglementaire";"Hollande";200
"Code de procédure pénale";"Réglementaire";"Macron 2";108
"Code de procédure pénale";"Réglementaire";"Mitterand 2";64
"Code de procédure pénale";"Réglementaire";"Chirac 2";132
"Code de procédure pénale";"Réglementaire";"Chirac";95
"Code de procédure pénale";"Réglementaire";"de Gaulle";14
"Code de procédure pénale";"Réglementaire";"Mitterand";61
"Code de procédure pénale";"Réglementaire";"Pompidou";22
"Code de procédure pénale";"Réglementaire";"de Gaulle 2";7
"Code de procédure pénale";"Législative";"Sarkozy";1
"Code des procédures civiles d'exécution";"Réglementaire";"Macron 2";7
"Code des procédures civiles d'exécution";"Législative";"Sarkozy";1
"Code des procédures civiles d'exécution";"Législative";"Hollande";9
"Code des procédures civiles d'exécution";"Législative";"Macron";14
"Code des procédures civiles d'exécution";"Législative";"Macron 2";6
"Code des procédures civiles d'exécution";"Réglementaire";"Hollande";11
"Code des procédures civiles d'exécution";"Réglementaire";"Macron";9
"Code des procédures civiles d'exécution";"Réglementaire";"Sarkozy";1
"Code de la propriété intellectuelle";"Réglementaire";"Chirac";14
"Code de la propriété intellectuelle";"Réglementaire";"Sarkozy";33
"Code de la propriété intellectuelle";"Réglementaire";"Chirac 2";19
"Code de la propriété intellectuelle";"Réglementaire";"Hollande";36
"Code de la propriété intellectuelle";"Réglementaire";"Macron";30
"Code de la propriété intellectuelle";"Réglementaire";"Macron 2";11
"Code de la propriété intellectuelle";"Législative";"Mitterand 2";9
"Code de la propriété intellectuelle";"Législative";"Chirac 2";18
"Code de la propriété intellectuelle";"Législative";"Macron";29
"Code de la propriété intellectuelle";"Législative";"Chirac";13
"Code de la propriété intellectuelle";"Législative";"Sarkozy";30
"Code de la propriété intellectuelle";"Législative";"Hollande";28
"Code de la propriété intellectuelle";"Législative";"Macron 2";11
"Code de la propriété intellectuelle";"Réglementaire";"Mitterand 2";2
"Code de la recherche";"Réglementaire";"Macron 2";7
"Code de la recherche";"Législative";"Chirac 2";7
"Code de la recherche";"Législative";"Hollande";14
"Code de la recherche";"Législative";"Macron";14
"Code de la recherche";"Législative";"Macron 2";4
"Code de la recherche";"Législative";"Sarkozy";14
"Code des relations entre le public et l'administration";"Réglementaire";"Hollande";10
"Code des relations entre le public et l'administration";"Réglementaire";"Macron";15
"Code des relations entre le public et l'administration";"Réglementaire";"Macron 2";6
"Code des relations entre le public et l'administration";"Législative";"Hollande";9
"Code des relations entre le public et l'administration";"Législative";"Macron";11
"Code des relations entre le public et l'administration";"Législative";"Macron 2";8
"Code de la route";"Réglementaire";"Hollande";59
"Code de la route";"Réglementaire";"Macron";53
"Code de la route";"Réglementaire";"Macron 2";29
"Code de la route";"Réglementaire";"Chirac";10
"Code de la route";"Réglementaire";"Sarkozy";50
"Code de la route";"Réglementaire";"Chirac 2";46
"Code de la route";"Législative";"Chirac";6
"Code de la route";"Législative";"Chirac 2";21
"Code de la route";"Législative";"Sarkozy";33
"Code de la route";"Législative";"Macron";35
"Code de la route";"Législative";"Hollande";25
"Code de la route";"Législative";"Macron 2";11
"Code rural (ancien)";"Réglementaire";"de Gaulle";24
"Code rural (ancien)";"Réglementaire";"Mitterand";49
"Code rural (ancien)";"Réglementaire";"Giscard";42
"Code rural (ancien)";"Réglementaire";"Avant Ve";20
"Code rural (ancien)";"Réglementaire";"de Gaulle 2";20
"Code rural (ancien)";"Réglementaire";"Mitterand 2";50
"Code rural (ancien)";"Réglementaire";"Chirac";33
"Code rural (ancien)";"Réglementaire";"Pompidou";20
"Code rural (ancien)";"Réglementaire";"Hollande";1
"Code de la santé publique";"Réglementaire";"Macron 2";159
"Code de la santé publique";"Réglementaire";"Macron";253
"Code de la santé publique";"Réglementaire";"Chirac 2";213
"Code de la santé publique";"Réglementaire";"Hollande";253
"Code de la santé publique";"Réglementaire";"Sarkozy";270
"Code de la santé publique";"Réglementaire";"Mitterand 2";80
"Code de la santé publique";"Réglementaire";"Chirac";126
"Code de la santé publique";"Législative";"Avant Ve";9
"Code de la santé publique";"Législative";"Mitterand";30
"Code de la santé publique";"Législative";"Mitterand 2";40
"Code de la santé publique";"Législative";"de Gaulle";9
"Code de la santé publique";"Législative";"Giscard";22
"Code de la santé publique";"Législative";"Chirac";50
"Code de la santé publique";"Législative";"Macron";108
"Code de la santé publique";"Législative";"Chirac 2";81
"Code de la santé publique";"Législative";"Sarkozy";92
"Code de la santé publique";"Législative";"Hollande";112
"Code de la santé publique";"Législative";"Macron 2";56
"Code de la santé publique";"Législative";"Pompidou";8
"Code de la santé publique";"Législative";"de Gaulle 2";7
"Code de la santé publique";"Réglementaire";"Avant Ve";5
"Code de la santé publique";"Réglementaire";"Mitterand";17
"Code de la santé publique";"Réglementaire";"Giscard";6
"Code de la santé publique";"Réglementaire";"Pompidou";7
"Code de la santé publique";"Réglementaire";"de Gaulle";2
"Code de la santé publique";"Réglementaire";"de Gaulle 2";3
"Code de la sécurité intérieure";"Réglementaire";"Hollande";70
"Code de la sécurité intérieure";"Réglementaire";"Macron";86
"Code de la sécurité intérieure";"Réglementaire";"Macron 2";81
"Code de la sécurité intérieure";"Législative";"Sarkozy";1
"Code de la sécurité intérieure";"Législative";"Macron";44
"Code de la sécurité intérieure";"Législative";"Macron 2";29
"Code de la sécurité intérieure";"Législative";"Hollande";45
"Code de la sécurité sociale";"Réglementaire";"Macron 2";115
"Code de la sécurité sociale";"Réglementaire";"Chirac";253
"Code de la sécurité sociale";"Réglementaire";"Hollande";237
"Code de la sécurité sociale";"Réglementaire";"Chirac 2";237
"Code de la sécurité sociale";"Réglementaire";"Sarkozy";245
"Code de la sécurité sociale";"Réglementaire";"Macron";228
"Code de la sécurité sociale";"Réglementaire";"Mitterand";62
"Code de la sécurité sociale";"Réglementaire";"Mitterand 2";213
"Code de la sécurité sociale";"Législative";"Mitterand";15
"Code de la sécurité sociale";"Législative";"Chirac";85
"Code de la sécurité sociale";"Législative";"Hollande";96
"Code de la sécurité sociale";"Législative";"Macron";106
"Code de la sécurité sociale";"Législative";"Chirac 2";78
"Code de la sécurité sociale";"Législative";"Sarkozy";103
"Code de la sécurité sociale";"Législative";"Macron 2";56
"Code de la sécurité sociale";"Législative";"Mitterand 2";61
"Code de la sécurité sociale";"Réglementaire";"de Gaulle";1
"Code de la sécurité sociale";"Réglementaire";"Giscard";1
"Code de la sécurité sociale";"Réglementaire";"Pompidou";1
"Code du service national";"Réglementaire";"Mitterand 2";13
"Code du service national";"Réglementaire";"Sarkozy";6
"Code du service national";"Réglementaire";"Giscard";12
"Code du service national";"Législative";"Mitterand 2";6
"Code du service national";"Législative";"Chirac";11
"Code du service national";"Législative";"Pompidou";3
"Code du service national";"Législative";"Mitterand";2
"Code du service national";"Législative";"Sarkozy";9
"Code du service national";"Législative";"Macron";13
"Code du service national";"Législative";"Chirac 2";12
"Code du service national";"Législative";"Hollande";10
"Code du service national";"Législative";"Macron 2";5
"Code du service national";"Législative";"Giscard";2
"Code du service national";"Réglementaire";"Pompidou";2
"Code du service national";"Réglementaire";"Chirac";10
"Code du service national";"Réglementaire";"Mitterand";17
"Code du service national";"Réglementaire";"Macron";10
"Code du service national";"Réglementaire";"Chirac 2";2
"Code du service national";"Réglementaire";"Hollande";11
"Code du service national";"Réglementaire";"Macron 2";4
"Code du sport";"Réglementaire";"Sarkozy";81
"Code du sport";"Réglementaire";"Hollande";100
"Code du sport";"Réglementaire";"Macron";90
"Code du sport";"Réglementaire";"Macron 2";63
"Code du sport";"Législative";"Chirac 2";5
"Code du sport";"Législative";"Hollande";26
"Code du sport";"Législative";"Macron";23
"Code du sport";"Législative";"Macron 2";7
"Code du sport";"Législative";"Sarkozy";22
"Code du tourisme";"Réglementaire";"Chirac 2";6
"Code du tourisme";"Réglementaire";"Sarkozy";34
"Code du tourisme";"Réglementaire";"Hollande";28
"Code du tourisme";"Réglementaire";"Macron";22
"Code du tourisme";"Réglementaire";"Macron 2";4
"Code du tourisme";"Législative";"Chirac 2";14
"Code du tourisme";"Législative";"Sarkozy";26
"Code du tourisme";"Législative";"Hollande";30
"Code du tourisme";"Législative";"Macron";21
"Code du tourisme";"Législative";"Macron 2";9
"Code des transports";"Réglementaire";"Macron";103
"Code des transports";"Réglementaire";"Macron 2";70
"Code des transports";"Réglementaire";"Hollande";61
"Code des transports";"Législative";"Macron";91
"Code des transports";"Législative";"Sarkozy";21
"Code des transports";"Législative";"Hollande";76
"Code des transports";"Législative";"Macron 2";42
"Code du travail";"Réglementaire";"Macron 2";121
"Code du travail";"Réglementaire";"Sarkozy";183
"Code du travail";"Réglementaire";"Macron";180
"Code du travail";"Réglementaire";"Chirac";132
"Code du travail";"Réglementaire";"Hollande";183
"Code du travail";"Réglementaire";"Mitterand 2";143
"Code du travail";"Réglementaire";"Giscard";104
"Code du travail";"Réglementaire";"Chirac 2";169
"Code du travail";"Réglementaire";"Pompidou";10
"Code du travail";"Réglementaire";"Mitterand";145
"Code du travail";"Législative";"Sarkozy";85
"Code du travail";"Législative";"Chirac 2";72
"Code du travail";"Législative";"Pompidou";6
"Code du travail";"Législative";"Mitterand 2";59
"Code du travail";"Législative";"Hollande";89
"Code du travail";"Législative";"Macron 2";49
"Code du travail";"Législative";"Macron";82
"Code du travail";"Législative";"Mitterand";78
"Code du travail";"Législative";"Chirac";69
"Code du travail";"Législative";"Giscard";51
"Code du travail maritime";"Réglementaire";"Avant Ve";15
"Code du travail maritime";"Réglementaire";"Mitterand";2
"Code du travail maritime";"Réglementaire";"Sarkozy";6
"Code du travail maritime";"Réglementaire";"Chirac";5
"Code du travail maritime";"Réglementaire";"Giscard";1
"Code du travail maritime";"Réglementaire";"Chirac 2";4
"Code du travail maritime";"Réglementaire";"de Gaulle";4
"Code du travail maritime";"Réglementaire";"Hollande";1
"Code du travail maritime";"Réglementaire";"Mitterand 2";3
"Code du travail maritime";"Réglementaire";"de Gaulle 2";1
"Code de l'urbanisme";"Réglementaire";"Pompidou";6
"Code de l'urbanisme";"Réglementaire";"Giscard";40
"Code de l'urbanisme";"Réglementaire";"Chirac";38
"Code de l'urbanisme";"Réglementaire";"Sarkozy";64
"Code de l'urbanisme";"Réglementaire";"Mitterand";56
"Code de l'urbanisme";"Réglementaire";"Chirac 2";46
"Code de l'urbanisme";"Réglementaire";"Hollande";63
"Code de l'urbanisme";"Réglementaire";"Macron";53
"Code de l'urbanisme";"Réglementaire";"Macron 2";52
"Code de l'urbanisme";"Réglementaire";"Mitterand 2";44
"Code de l'urbanisme";"Législative";"Mitterand";31
"Code de l'urbanisme";"Législative";"Mitterand 2";20
"Code de l'urbanisme";"Législative";"Chirac";24
"Code de l'urbanisme";"Législative";"Chirac 2";43
"Code de l'urbanisme";"Législative";"Hollande";52
"Code de l'urbanisme";"Législative";"Macron";34
"Code de l'urbanisme";"Législative";"Macron 2";18
"Code de l'urbanisme";"Législative";"Sarkozy";46
"Code de l'urbanisme";"Législative";"Pompidou";2
"Code de l'urbanisme";"Législative";"Giscard";12
"Code de la voirie routière";"Réglementaire";"Macron";14
"Code de la voirie routière";"Réglementaire";"Chirac 2";16
"Code de la voirie routière";"Réglementaire";"Hollande";16
"Code de la voirie routière";"Réglementaire";"Sarkozy";11
"Code de la voirie routière";"Législative";"Mitterand 2";3
"Code de la voirie routière";"Législative";"Chirac 2";9
"Code de la voirie routière";"Législative";"Hollande";15
"Code de la voirie routière";"Législative";"Sarkozy";12
"Code de la voirie routière";"Législative";"Macron";10
"Code de la voirie routière";"Législative";"Chirac";10
"Code de la voirie routière";"Législative";"Macron 2";3
"Code de la voirie routière";"Réglementaire";"Mitterand 2";8
"Code de la voirie routière";"Réglementaire";"Chirac";4
"Code de la voirie routière";"Réglementaire";"Macron 2";2
